product_id,sku,product_name,brand,unit_price,unit_cost,active_from_id,active_to_id,created_at_date_id,created_at_time,category_name,parent_category_name
1,SKU-00001,Andina Remeras 001,Andina,112524.82,68777.76,36,,36,03:43:54,Remeras,Ropa
2,SKU-00002,Lago Remeras 002,Lago,9608.49,5509.74,60,,60,18:23:57,Remeras,Ropa
3,SKU-00003,Lago Zapatillas 003,Lago,36963.89,25775.53,208,,208,00:14:11,Zapatillas,Calzado
4,SKU-00004,Lago Pantalones 004,Lago,54336.32,31997.02,196,,196,12:15:18,Pantalones,Ropa
5,SKU-00005,Pampa Gorras 005,Pampa,57052.01,36284.45,68,,68,01:34:55,Gorras,Accesorios
6,SKU-00006,Lago Remeras 006,Lago,16426.03,10238.25,161,223,161,22:31:10,Remeras,Ropa
7,SKU-00007,Pampa Zapatillas 007,Pampa,11644.54,7067.94,75,115,75,02:54:18,Zapatillas,Calzado
8,SKU-00008,Cordillera Botas 008,Cordillera,97174.24,62308.91,95,,95,12:56:06,Botas,Calzado
9,SKU-00009,Pampa Botas 009,Pampa,93324.0,55321.03,187,,187,08:54:47,Botas,Calzado
10,SKU-00010,Estilo Gorras 010,Estilo,148480.89,105421.42,143,,143,07:59:45,Gorras,Accesorios
11,SKU-00011,Norte Camperas 011,Norte,124161.38,93277.66,103,,103,09:44:53,Camperas,Ropa
12,SKU-00012,Norte Mochilas 012,Norte,100038.61,64915.85,165,,165,16:42:22,Mochilas,Accesorios
13,SKU-00013,Norte Pantalones 013,Norte,113023.4,77392.13,192,,192,21:17:02,Pantalones,Ropa
14,SKU-00014,Río Gorras 014,Río,36801.51,29418.55,131,,131,17:58:06,Gorras,Accesorios
15,SKU-00015,Pampa Camperas 015,Pampa,27161.99,16025.45,175,,175,15:22:13,Camperas,Ropa
16,SKU-00016,Lago Gorras 016,Lago,91403.82,60967.49,65,83,65,20:08:32,Gorras,Accesorios
17,SKU-00017,Río Botas 017,Río,21175.07,13947.83,117,224,117,00:07:05,Botas,Calzado
18,SKU-00018,Pampa Pantalones 018,Pampa,131225.19,81964.72,164,,164,18:29:00,Pantalones,Ropa
19,SKU-00019,Río Pantalones 019,Río,115564.07,79143.44,200,235,200,19:18:34,Pantalones,Ropa
20,SKU-00020,Andina Wearables 020,Andina,21220.82,13597.14,213,,213,11:11:46,Wearables,Electrónica
21,SKU-00021,Pampa Zapatillas 021,Pampa,17419.75,11697.32,18,,18,19:23:42,Zapatillas,Calzado
22,SKU-00022,Cordillera Pantalones 022,Cordillera,142293.06,84135.29,136,,136,22:05:07,Pantalones,Ropa
23,SKU-00023,Norte Zapatillas 023,Norte,108377.6,70418.14,172,,172,23:39:40,Zapatillas,Calzado
24,SKU-00024,Pampa Wearables 024,Pampa,40946.31,23175.88,6,,6,21:25:10,Wearables,Electrónica
25,SKU-00025,Andina Zapatillas 025,Andina,15294.0,10824.72,59,158,59,02:27:14,Zapatillas,Calzado
26,SKU-00026,Estilo Zapatillas 026,Estilo,102001.78,61564.11,34,,34,20:47:27,Zapatillas,Calzado
27,SKU-00027,Cordillera Zapatillas 027,Cordillera,122087.06,72959.53,25,,25,23:59:34,Zapatillas,Calzado
28,SKU-00028,Lago Gorras 028,Lago,72718.58,53249.56,173,195,173,23:47:29,Gorras,Accesorios
29,SKU-00029,Río Gorras 029,Río,121085.91,69904.99,50,,50,06:55:31,Gorras,Accesorios
30,SKU-00030,Lago Pantalones 030,Lago,31605.77,21038.6,20,175,20,16:08:02,Pantalones,Ropa
31,SKU-00031,Andina Camperas 031,Andina,145504.46,113725.08,61,,61,06:03:18,Camperas,Ropa
32,SKU-00032,Norte Wearables 032,Norte,130374.31,101119.71,43,,43,13:47:52,Wearables,Electrónica
33,SKU-00033,Estilo Gorras 033,Estilo,139345.12,103990.8,74,,74,15:24:04,Gorras,Accesorios
34,SKU-00034,Sur Wearables 034,Sur,32535.19,19665.09,15,,15,21:05:14,Wearables,Electrónica
35,SKU-00035,Río Camperas 035,Río,13288.96,9249.71,129,,129,19:20:15,Camperas,Ropa
36,SKU-00036,Sur Remeras 036,Sur,14935.59,8468.34,61,,61,14:42:03,Remeras,Ropa
37,SKU-00037,Andina Zapatillas 037,Andina,94810.32,62082.39,150,,150,20:34:45,Zapatillas,Calzado
38,SKU-00038,Norte Botas 038,Norte,102110.27,64181.0,68,,68,14:24:36,Botas,Calzado
39,SKU-00039,Cordillera Botas 039,Cordillera,50845.69,37522.4,19,,19,00:20:20,Botas,Calzado
40,SKU-00040,Pampa Remeras 040,Pampa,82956.99,56118.01,34,112,34,12:42:25,Remeras,Ropa
41,SKU-00041,Sur Botas 041,Sur,68536.76,47002.82,78,228,78,22:16:13,Botas,Calzado
42,SKU-00042,Pampa Botas 042,Pampa,141144.85,82368.29,30,,30,03:53:49,Botas,Calzado
43,SKU-00043,Estilo Pantalones 043,Estilo,45854.66,27634.65,88,,88,07:24:45,Pantalones,Ropa
44,SKU-00044,Cordillera Botas 044,Cordillera,41412.58,32179.22,14,,14,03:21:37,Botas,Calzado
45,SKU-00045,Andina Botas 045,Andina,5514.12,4095.78,164,,164,09:32:15,Botas,Calzado
46,SKU-00046,Lago Wearables 046,Lago,86331.5,49896.88,177,,177,05:25:36,Wearables,Electrónica
47,SKU-00047,Sur Mochilas 047,Sur,67319.07,37729.46,94,162,94,01:27:09,Mochilas,Accesorios
48,SKU-00048,Río Remeras 048,Río,118116.86,91072.07,105,,105,22:35:51,Remeras,Ropa
49,SKU-00049,Sur Zapatillas 049,Sur,146549.87,110307.05,106,,106,00:54:08,Zapatillas,Calzado
50,SKU-00050,Lago Mochilas 050,Lago,121324.1,92936.2,208,,208,09:02:07,Mochilas,Accesorios
51,SKU-00051,Lago Remeras 051,Lago,131464.18,100523.87,57,189,57,07:15:58,Remeras,Ropa
52,SKU-00052,Norte Botas 052,Norte,37323.91,26686.91,103,,103,11:57:05,Botas,Calzado
53,SKU-00053,Estilo Remeras 053,Estilo,55916.19,37874.91,174,,174,19:31:22,Remeras,Ropa
54,SKU-00054,Pampa Camperas 054,Pampa,132170.57,81325.05,149,,149,09:39:55,Camperas,Ropa
55,SKU-00055,Río Gorras 055,Río,110639.03,69527.71,156,,156,18:37:13,Gorras,Accesorios
56,SKU-00056,Estilo Zapatillas 056,Estilo,11436.05,7536.52,134,,134,19:36:15,Zapatillas,Calzado
57,SKU-00057,Río Zapatillas 057,Río,67538.12,53167.27,85,,85,22:41:18,Zapatillas,Calzado
58,SKU-00058,Estilo Remeras 058,Estilo,78532.76,56286.26,84,,84,14:39:03,Remeras,Ropa
59,SKU-00059,Norte Pantalones 059,Norte,65964.72,51788.3,174,,174,06:20:10,Pantalones,Ropa
60,SKU-00060,Lago Botas 060,Lago,84450.9,46456.56,74,,74,07:39:09,Botas,Calzado
61,SKU-00061,Cordillera Mochilas 061,Cordillera,69058.97,49646.97,131,,131,17:13:41,Mochilas,Accesorios
62,SKU-00062,Pampa Pantalones 062,Pampa,46149.03,33041.02,159,,159,12:12:13,Pantalones,Ropa
63,SKU-00063,Estilo Zapatillas 063,Estilo,37572.9,22535.57,7,,7,01:40:57,Zapatillas,Calzado
64,SKU-00064,Pampa Wearables 064,Pampa,71035.34,54806.2,148,,148,07:04:45,Wearables,Electrónica
65,SKU-00065,Cordillera Gorras 065,Cordillera,62949.67,36944.71,177,241,177,00:12:06,Gorras,Accesorios
66,SKU-00066,Norte Gorras 066,Norte,30503.57,24082.31,133,,133,16:54:49,Gorras,Accesorios
67,SKU-00067,Pampa Zapatillas 067,Pampa,71186.96,53415.43,171,225,171,19:20:16,Zapatillas,Calzado
68,SKU-00068,Lago Wearables 068,Lago,125432.53,86168.13,41,,41,17:16:56,Wearables,Electrónica
69,SKU-00069,Estilo Zapatillas 069,Estilo,116042.98,78946.94,161,,161,08:42:38,Zapatillas,Calzado
70,SKU-00070,Estilo Remeras 070,Estilo,39001.57,24725.51,139,,139,02:56:01,Remeras,Ropa
71,SKU-00071,Lago Zapatillas 071,Lago,105622.72,76745.98,17,,17,15:06:17,Zapatillas,Calzado
72,SKU-00072,Lago Wearables 072,Lago,14028.53,10636.75,100,121,100,21:15:56,Wearables,Electrónica
73,SKU-00073,Cordillera Gorras 073,Cordillera,5854.93,3735.09,193,235,193,14:11:56,Gorras,Accesorios
74,SKU-00074,Cordillera Zapatillas 074,Cordillera,36816.14,24260.32,8,,8,14:09:28,Zapatillas,Calzado
75,SKU-00075,Sur Gorras 075,Sur,126873.32,98946.65,160,,160,19:26:48,Gorras,Accesorios
76,SKU-00076,Andina Gorras 076,Andina,17172.38,11284.89,119,,119,06:36:59,Gorras,Accesorios
77,SKU-00077,Río Gorras 077,Río,35690.74,22546.25,195,,195,13:48:12,Gorras,Accesorios
78,SKU-00078,Estilo Gorras 078,Estilo,126062.08,84156.11,192,,192,19:38:22,Gorras,Accesorios
79,SKU-00079,Norte Mochilas 079,Norte,99270.89,73987.42,167,,167,01:27:56,Mochilas,Accesorios
80,SKU-00080,Norte Zapatillas 080,Norte,126688.18,89357.47,62,,62,04:35:44,Zapatillas,Calzado
81,SKU-00081,Norte Remeras 081,Norte,72429.93,44476.39,95,,95,06:06:32,Remeras,Ropa
82,SKU-00082,Sur Remeras 082,Sur,144884.51,83601.94,7,,7,11:21:28,Remeras,Ropa
83,SKU-00083,Lago Gorras 083,Lago,141513.24,84848.85,152,,152,22:50:13,Gorras,Accesorios
84,SKU-00084,Pampa Botas 084,Pampa,120452.95,83291.18,11,,11,12:38:28,Botas,Calzado
85,SKU-00085,Pampa Mochilas 085,Pampa,78364.31,49785.46,108,,108,17:50:51,Mochilas,Accesorios
86,SKU-00086,Cordillera Mochilas 086,Cordillera,107559.75,70868.09,188,221,188,18:59:46,Mochilas,Accesorios
87,SKU-00087,Cordillera Wearables 087,Cordillera,68158.3,49943.44,69,106,69,11:44:05,Wearables,Electrónica
88,SKU-00088,Norte Wearables 088,Norte,113819.06,78815.42,172,,172,13:47:54,Wearables,Electrónica
89,SKU-00089,Río Wearables 089,Río,31366.78,18915.11,205,,205,09:24:22,Wearables,Electrónica
90,SKU-00090,Andina Botas 090,Andina,79910.95,47767.9,62,,62,14:47:51,Botas,Calzado
91,SKU-00091,Cordillera Zapatillas 091,Cordillera,98655.92,66366.36,203,,203,00:37:40,Zapatillas,Calzado
92,SKU-00092,Lago Zapatillas 092,Lago,105309.14,65981.6,149,,149,13:26:08,Zapatillas,Calzado
93,SKU-00093,Lago Mochilas 093,Lago,149511.56,102803.72,91,,91,16:31:13,Mochilas,Accesorios
94,SKU-00094,Norte Botas 094,Norte,22495.1,13455.36,31,223,31,19:30:36,Botas,Calzado
95,SKU-00095,Norte Zapatillas 095,Norte,112097.67,69402.46,151,,151,19:06:05,Zapatillas,Calzado
96,SKU-00096,Norte Remeras 096,Norte,47955.74,30702.23,78,,78,00:30:54,Remeras,Ropa
97,SKU-00097,Estilo Pantalones 097,Estilo,11599.78,6538.0,75,,75,04:35:51,Pantalones,Ropa
98,SKU-00098,Pampa Wearables 098,Pampa,131544.36,91228.13,121,,121,17:25:46,Wearables,Electrónica
99,SKU-00099,Andina Pantalones 099,Andina,41609.37,31849.09,30,,30,02:22:44,Pantalones,Ropa
100,SKU-00100,Andina Remeras 100,Andina,27000.42,20325.52,78,123,78,03:06:04,Remeras,Ropa
101,SKU-00101,Norte Gorras 101,Norte,117475.56,75782.84,114,183,114,10:49:34,Gorras,Accesorios
102,SKU-00102,Pampa Camperas 102,Pampa,142400.58,85717.6,55,,55,09:38:07,Camperas,Ropa
103,SKU-00103,Norte Pantalones 103,Norte,30202.96,17178.43,1,,1,14:52:25,Pantalones,Ropa
104,SKU-00104,Estilo Wearables 104,Estilo,9732.78,6054.04,73,,73,16:31:50,Wearables,Electrónica
105,SKU-00105,Estilo Zapatillas 105,Estilo,119235.06,84211.49,170,,170,07:12:08,Zapatillas,Calzado
106,SKU-00106,Sur Zapatillas 106,Sur,136719.66,103450.0,19,,19,02:10:16,Zapatillas,Calzado
107,SKU-00107,Estilo Botas 107,Estilo,68677.25,45819.71,78,222,78,14:39:17,Botas,Calzado
108,SKU-00108,Cordillera Wearables 108,Cordillera,16664.07,9331.3,111,,111,11:44:07,Wearables,Electrónica
109,SKU-00109,Pampa Camperas 109,Pampa,38194.04,27445.27,148,198,148,21:22:35,Camperas,Ropa
110,SKU-00110,Sur Camperas 110,Sur,73222.62,52198.75,72,199,72,06:36:28,Camperas,Ropa
111,SKU-00111,Pampa Wearables 111,Pampa,73151.51,47701.15,83,182,83,03:48:30,Wearables,Electrónica
112,SKU-00112,Estilo Wearables 112,Estilo,101074.61,65709.93,195,,195,20:01:42,Wearables,Electrónica
113,SKU-00113,Río Remeras 113,Río,41597.83,24084.33,198,239,198,14:42:56,Remeras,Ropa
114,SKU-00114,Lago Wearables 114,Lago,12859.59,8739.51,160,,160,18:08:58,Wearables,Electrónica
115,SKU-00115,Norte Camperas 115,Norte,43723.15,25479.81,74,213,74,15:57:04,Camperas,Ropa
116,SKU-00116,Norte Camperas 116,Norte,107918.51,67739.1,4,,4,20:06:24,Camperas,Ropa
117,SKU-00117,Pampa Zapatillas 117,Pampa,71909.94,41662.22,40,130,40,18:08:43,Zapatillas,Calzado
118,SKU-00118,Lago Botas 118,Lago,126034.97,100205.51,63,,63,16:37:51,Botas,Calzado
119,SKU-00119,Norte Gorras 119,Norte,138670.88,93888.54,35,,35,02:32:30,Gorras,Accesorios
120,SKU-00120,Río Gorras 120,Río,140466.02,95086.28,211,,211,00:05:36,Gorras,Accesorios
121,SKU-00121,Cordillera Botas 121,Cordillera,130462.79,86318.99,124,,124,12:33:56,Botas,Calzado
122,SKU-00122,Cordillera Gorras 122,Cordillera,140263.58,107638.33,179,,179,08:41:40,Gorras,Accesorios
123,SKU-00123,Lago Zapatillas 123,Lago,11328.86,8340.04,181,,181,13:52:48,Zapatillas,Calzado
124,SKU-00124,Cordillera Pantalones 124,Cordillera,144899.54,84268.01,152,223,152,12:05:15,Pantalones,Ropa
125,SKU-00125,Andina Wearables 125,Andina,109754.35,71614.13,168,,168,05:37:12,Wearables,Electrónica
126,SKU-00126,Río Botas 126,Río,95372.61,61932.19,21,173,21,11:57:45,Botas,Calzado
127,SKU-00127,Cordillera Mochilas 127,Cordillera,131495.54,73502.69,18,,18,08:32:51,Mochilas,Accesorios
128,SKU-00128,Norte Botas 128,Norte,113281.12,74594.81,26,,26,23:04:26,Botas,Calzado
129,SKU-00129,Cordillera Remeras 129,Cordillera,29122.89,18197.92,8,,8,01:40:28,Remeras,Ropa
130,SKU-00130,Estilo Camperas 130,Estilo,56977.18,37472.28,63,,63,19:20:21,Camperas,Ropa
131,SKU-00131,Sur Pantalones 131,Sur,30385.06,21341.64,98,,98,22:33:46,Pantalones,Ropa
132,SKU-00132,Sur Wearables 132,Sur,38667.32,27433.54,118,,118,09:17:46,Wearables,Electrónica
133,SKU-00133,Estilo Wearables 133,Estilo,103253.58,60867.36,114,168,114,12:34:53,Wearables,Electrónica
134,SKU-00134,Estilo Gorras 134,Estilo,71241.19,44563.53,99,,99,17:35:35,Gorras,Accesorios
135,SKU-00135,Río Gorras 135,Río,88347.73,70516.77,76,192,76,00:47:55,Gorras,Accesorios
136,SKU-00136,Andina Camperas 136,Andina,137039.46,100901.2,74,,74,08:22:42,Camperas,Ropa
137,SKU-00137,Norte Mochilas 137,Norte,97309.59,68624.94,174,,174,04:58:47,Mochilas,Accesorios
138,SKU-00138,Estilo Camperas 138,Estilo,119348.52,66637.19,94,,94,04:47:04,Camperas,Ropa
139,SKU-00139,Río Botas 139,Río,113384.73,67340.32,34,143,34,19:38:21,Botas,Calzado
140,SKU-00140,Sur Botas 140,Sur,42260.66,31956.35,124,,124,10:44:44,Botas,Calzado
141,SKU-00141,Pampa Mochilas 141,Pampa,72908.05,41471.91,194,235,194,08:12:51,Mochilas,Accesorios
142,SKU-00142,Pampa Mochilas 142,Pampa,119648.89,66223.22,138,,138,04:29:59,Mochilas,Accesorios
143,SKU-00143,Lago Botas 143,Lago,124250.51,97545.72,28,,28,08:30:47,Botas,Calzado
144,SKU-00144,Norte Mochilas 144,Norte,98909.6,70112.16,119,,119,11:00:08,Mochilas,Accesorios
145,SKU-00145,Sur Remeras 145,Sur,11575.29,6474.09,127,,127,04:13:40,Remeras,Ropa
146,SKU-00146,Lago Pantalones 146,Lago,70778.34,50792.07,191,,191,19:40:04,Pantalones,Ropa
147,SKU-00147,Lago Pantalones 147,Lago,99963.68,75814.78,158,208,158,14:51:32,Pantalones,Ropa
148,SKU-00148,Norte Mochilas 148,Norte,69290.55,54575.92,93,202,93,03:37:02,Mochilas,Accesorios
149,SKU-00149,Andina Mochilas 149,Andina,62730.25,37478.32,32,,32,16:33:20,Mochilas,Accesorios
150,SKU-00150,Andina Zapatillas 150,Andina,12333.88,7812.0,33,,33,20:33:20,Zapatillas,Calzado
